user_id,occupation,monthly_income,income_variance,upi_txn_count,upi_avg_amount,upi_inflow_outflow_ratio,gst_filing_frequency,monthly_revenue,savings_ratio,missed_payments,credit_score,loan_repaid,risk_level,reason
1,vendor,43755,0.5,405,2774,0.91,1,156031,0.23,5,506,0,High Risk,High missed payments
2,delivery_agent,50390,0.44,327,2560,1.08,6,196206,0.49,1,555,0,High Risk,Stable financial behavior
3,freelancer,33711,0.41,67,590,1.75,9,45874,0.26,0,451,0,High Risk,Stable financial behavior
4,delivery_agent,67993,0.26,61,1699,0.72,3,151007,0.17,5,637,1,Medium Risk,High missed payments
5,delivery_agent,84696,0.51,229,1995,1.18,2,21301,0.45,2,749,1,Medium Risk,Stable financial behavior
6,driver,37213,0.35,172,133,1.24,10,78017,0.27,1,473,0,High Risk,Stable financial behavior
7,freelancer,67784,0.14,295,320,0.55,0,63319,0.32,0,653,1,Medium Risk,Stable financial behavior
8,freelancer,17421,0.26,271,2341,0.79,2,42455,0.09,4,349,0,High Risk,High missed payments
9,freelancer,96936,0.57,422,437,1.74,10,155184,0.22,2,831,1,Low Risk,Stable financial behavior
10,delivery_agent,27727,0.53,100,263,1.75,8,77033,0.47,0,418,0,High Risk,Stable financial behavior
11,vendor,14358,0.59,120,2915,0.94,8,183217,0.32,1,335,0,High Risk,Stable financial behavior
12,freelancer,75108,0.41,97,108,1.81,6,126924,0.21,1,692,1,Medium Risk,Stable financial behavior
13,delivery_agent,42117,0.22,68,1675,1.66,2,52735,0.33,4,490,0,High Risk,High missed payments
14,driver,98700,0.18,311,2980,1.13,2,92781,0.46,2,835,1,Low Risk,Stable financial behavior
15,vendor,41910,0.19,133,892,1.62,3,146031,0.17,2,495,0,High Risk,Low savings
16,driver,65754,0.11,204,1577,1.94,6,148305,0.28,5,635,1,Medium Risk,High missed payments
17,vendor,72438,0.3,102,1779,1.19,6,128049,0.48,0,679,1,Medium Risk,Stable financial behavior
18,delivery_agent,39371,0.2,156,172,0.86,11,172783,0.13,5,477,0,High Risk,High missed payments
19,shopkeeper,61501,0.31,406,1486,1.91,11,25630,0.37,1,627,1,Medium Risk,Stable financial behavior
20,vendor,70946,0.57,353,1212,1.41,1,85488,0.33,1,674,1,Medium Risk,Stable financial behavior
21,driver,48467,0.32,184,2536,0.66,11,154278,0.36,4,534,0,High Risk,High missed payments
22,delivery_agent,27625,0.54,492,611,1.36,4,76289,0.21,4,419,0,High Risk,High missed payments
23,vendor,43893,0.4,118,2215,1.25,6,38953,0.19,2,506,0,High Risk,Low savings
24,shopkeeper,86329,0.22,60,1787,1.78,6,120932,0.36,5,750,1,Low Risk,High missed payments
25,shopkeeper,41007,0.28,192,954,1.3,5,161140,0.15,1,493,0,High Risk,Low savings
26,freelancer,49532,0.14,241,444,0.88,9,98930,0.24,0,549,0,High Risk,Stable financial behavior
27,freelancer,64253,0.27,436,1776,1.51,9,21067,0.13,3,637,1,Medium Risk,High missed payments
28,driver,22323,0.44,427,2973,1.31,11,70658,0.05,0,395,0,High Risk,Low savings
29,vendor,83379,0.14,118,1766,0.85,7,72165,0.49,4,736,1,Medium Risk,High missed payments
30,vendor,24210,0.2,72,984,1.36,2,100781,0.24,0,392,0,High Risk,Stable financial behavior
31,freelancer,26456,0.29,230,1151,1.73,0,160931,0.49,1,410,0,High Risk,Stable financial behavior
32,vendor,41367,0.59,342,1485,0.54,2,49164,0.11,5,489,0,High Risk,High missed payments
33,vendor,64624,0.49,58,124,1.45,10,124946,0.31,2,629,1,Medium Risk,Stable financial behavior
34,shopkeeper,20106,0.47,320,344,1.02,1,147580,0.14,5,364,0,High Risk,High missed payments
35,freelancer,78008,0.16,436,70,0.94,1,119251,0.41,3,715,1,Medium Risk,High missed payments
36,delivery_agent,82240,0.49,142,1088,1.09,1,40773,0.4,2,731,1,Medium Risk,Stable financial behavior
37,freelancer,74315,0.49,66,1284,1.01,4,53939,0.1,3,679,1,Medium Risk,High missed payments
38,delivery_agent,79249,0.4,203,609,1.75,0,199671,0.46,3,715,1,Medium Risk,High missed payments
39,shopkeeper,80587,0.6,454,1159,0.91,9,157186,0.14,1,735,1,Medium Risk,Low savings
40,driver,20756,0.26,377,1222,1.6,3,118475,0.33,1,382,0,High Risk,Stable financial behavior
41,vendor,78011,0.57,198,421,0.64,9,32818,0.49,4,707,1,Medium Risk,High missed payments
